id,  url,  title,  rev_host,  visit_count,  hidden,  typed,  favicon_id,  frecency,  last_visit_date,  guid
"None","http://example.com/","Example Domain","moc.elpmaxe.","2","0","1","None","2200","1481564460988099","_Fv9IX1cGpN4"
"None","https://news.ycombinator.com/","Hacker News","moc.rotanibmocy.swen.","1","0","0","11","2000","1471970845483557","-yx4LJ_nbk3G"
"None","http://news.ycombinator.com/","None","moc.rotanibmocy.swen.","1","1","1","None","2000","1471970845142035","P27DxOuKc3J7"
"None","ftp://ftp.cadsoft.de/eagle/program/6.5/eagle-lin-6.5.0.run","eagle-lin-6.5.0.run","ed.tfosdac.ptf.","0","0","0","None","0","1380622374491105","ycrhk8hqi0sX"
"None","http://www.cadsoftusa.com/download-eagle/","Download - Get the latest Version of EAGLE PCB Design Software","moc.asutfosdac.www.","1","0","0","10","2000","1380622365629820","E0XPgeLbUnt7"
"None","http://www.cadsoftusa.com/download-eagle","None","moc.asutfosdac.www.","1","1","1","None","2000","1380622365381702","-KeXb16T97q3"
"None","place:type=6&sort=14&maxResults=10","None","None","0","1","0","None","0","None","CWG5QZhdrc8a"
"None","place:folder=BOOKMARKS_MENU&folder=UNFILED_BOOKMARKS&folder=TOOLBAR&queryType=1&sort=12&maxResults=10&excludeQueries=1","None","None","0","1","0","None","0","None","-iROkc9lesaB"
"None","place:sort=8&maxResults=10","None","None","0","1","0","None","0","None","3f9S-ybPqxJQ"
"None","http://www.mozilla.com/en-US/about/","None","moc.allizom.www.","0","0","0","9","140","None","v954m52YaKnY"
"None","http://www.mozilla.com/en-US/firefox/community/","None","moc.allizom.www.","0","0","0","8","140","None","Xs7LXVlVstLO"
"None","http://www.mozilla.com/en-US/firefox/customize/","None","moc.allizom.www.","0","0","0","7","140","None","gwKXiRtxDDpU"
"None","http://www.mozilla.com/en-US/firefox/help/","None","moc.allizom.www.","0","0","0","6","140","None","9IHO08GS4hHN"
"None","https://one.ubuntu.com/","None","moc.utnubu.eno.","0","0","0","5","140","None","hFRAM7INfaC-"
"None","http://www.debian.org/","None","gro.naibed.www.","0","0","0","4","140","None","0oIWVysSUYPa"
"None","https://answers.launchpad.net/ubuntu/+addquestion","None","ten.daphcnual.srewsna.","0","0","0","3","140","None","pxZ5_DLZREbU"
"None","http://wiki.ubuntu.com/","None","moc.utnubu.ikiw.","0","0","0","2","140","None","Yw2G4M6G5AMh"
"None","http://www.ubuntu.com/","None","moc.utnubu.www.","0","0","0","1","140","None","CWrQcMgXMC46"
"None","http://www.mozilla.com/en-US/firefox/central/","None","moc.allizom.www.","0","0","0","None","140","None","JNfsKR8d0Y7b"
"None","http://example.com/","Example Domain","moc.elpmaxe.","1","0","1","None","2000","1471970854178187","_Fv9IX1cGpN4"
"None","http://example.com/","Example Domain","moc.elpmaxe.","2","0","1","None","2000","1481564460988099","_Fv9IX1cGpN4"
"None","https://news.ycombinator.com/","Hacker News","moc.rotanibmocy.swen.","1","0","0","11","2000","1471970845483557","-yx4LJ_n$D"
"None","http://www.mozilla.zÈÏ","None","˚#ªKg††ñ""çıØÃ","0","0","0","None","-26731","None",""
